traffic noise	belongs to class	outdoor urban or manmade
door domestic	perceived as	opening
guitar strumming	belongs to class	playing guitar
car wheel rolling	belongs to class	wheel rolling
tuning fork	has sibling	bell ringing
water vehicle	has children	rowboat canoe kayak
trombone	overlaps with	marching band music
metro door opens or closes	belongs to class	things
crushing	associated with environment	oil drilling equipment yard
duct tape	occurs in	office
domestic sounds	has subtype	typewriter
flute	originates from	instrument
firecracker	part of scene	celebration
hammering	precedes	carpentry
clarinet	occurs in	jazz club
animal	has subtype	bee or wasp
dial tone	occurs in	office
sitar	is a type of	indian musical instrument
crowd	is a type of	event
chicken or rooster	belongs to class	animal
whistle	event composed of	blow a whistle to signal
drum	has sibling	percussion
alarm signal	has children	foghorn ringing
kitchen sounds	has subtype	chopping food
snoring	described by	a repetitive nasal sound during sleep
wind or woodwind instrument	scene contains	woodwind
clang	can be heard in	metal shop
talking	emitted by	speaker voice
rustle	occurs in	wind
source-ambiguous sounds	has subtype	smash or crash
banjo	emitted by	instrument
truck	occurs in	quiet street
frying	belongs to class	domestic sounds
singing	co-occurs with	singing contest
generic impact sounds	has children	whack or thwack
vehicle siren ringing	occurs in	construction site
ship	part of scene	shipbuilding yard
opera	has subtype	opera performance cast
electric guitar	belongs to class	plucked string instrument
shot football	occurs in	stadium
popping popcorn	has sibling	things
sidetone	has sibling	background noise
castanets	part of scene	theater performance
rub	is a type of	stringed instrument
melody	has sibling	musical concepts
child babbling	occurs in	bus station
foghorn ringing	warns about	impending danger
waterfall	follows	waterfall thunderstorm thunderclap
water tap or faucet	belongs to class	water domestic
toothbrush	occurs in	home
sneezing	described by	a sudden, short burst of air through the nose
oboe	has subtype	instrument
sniggering	belongs to class	human voice
wind chime	belongs to class	musical instrument
engine	associated with environment	factory
sneezing	occurs in	bus interior
bassline	has parent	musical concepts
oboe	has parent	wind or woodwind instrument
woodpecker	is sound of	hammer
singing bowl	event composed of	vibrating object
footsteps	occurs in	library
music	has subtype	gong
cow	can be heard in	farm
shofar	part of scene	synagogue
guiro	perceived as	percussion instrument
bicycle	has sibling	non-motorized land vehicle
crunch	associated with environment	dirt
drum	has subtype	drum roll
road vehicle	originates from	motel parking lot
change bell ringing	warns about	warning
mouse squeaking	has sibling	mouse
shower	described by	a water-based activity for cleaning and relaxation
vehicle	has subtype	electric rotor drone
lip smacking	occurs in	metro station
sonar	described by	a high-frequency sound used for detecting underwater objects
washing dishes	has sibling	dishes or pots or pans
scissors	temporal component of	snipping
domestic sounds	has children	hook and loop fastener
dog bowing	belongs to class	animal
chimpanzee	associated with event	grooming
human activities	has children	playing badminton
dishwasher	belongs to class	domestic sounds
air conditioning	occurs in	kid game hall
pizzicato	transcribed as	short, staccato notes
door	occurs in	metro station
rope skipping	occurs in	pedestrian street
telephone vibrating	belongs to class	things
sound of things	has children	vehicle
buzzer ringing	emitted by	alarm
vehicle engine	has subtype	car engine accelerating
music	has subtype	soprano saxophone
chuckling and chortling	occurs in	cafe or restaurant
door slam	has parent	door opens or closes
mosquito	has subtype	hum
duck	localized in	river
human voice	has subtype	whispering
children shouting	occurs in	home
cello	event composed of	solo performance
lawn mower	belongs to class	things
horse	can be heard in	race track
djembe	perceived as	rhythmic
music	has children	music role
children singing	emitted by	church
rattle (instrument)	has children	maraca
rain	has subtype	rain on surface
rain	has subtype	rainy weather condition
dubstep	event composed of	rhythmic beats
music	has subtype	funny music
human non-speech sounds	has children	heart sounds heartbeat
finger snapping	has duration	short
boing	follows	weather alert siren
outdoor environment	occurs in	waterfront
smoke extractor	occurs in	kitchen
giggling	localized in	playground room
sitar	responds to	music performance
bus engine accelerating	belongs to class	vehicle
male screaming	belongs to class	human non-speech sounds
chimpanzee	part of scene	jungle
door slam	indicates	opening the door
plucked string instrument	has parent	musical instrument
announcement	generated by	speaker
ding	occurs in	room
coffee machine	can be heard in	office
cutlery or dishes	occurs in	kitchen
clapping	occurs in	sports stadium
cow	occurs in	meadow
engine	has children	vehicle engine
cat	has children	caterwaul
air conditioner	occurs in	swimming pool
crow	can be heard in	zoo
train whistle	scene contains	whistle
throat cleaning	has sibling	human non-speech sounds
sheep	has parent	farm animal
frog croak	belongs to class	animal
distortion	has sibling	background noise
harmonica	part of scene	music instrument
harmonic	can be heard in	music theater
engine	has subtype	motorcycle engine accelerating
frog	can be heard in	forest
vehicle	responds to	traffic congestion
coughing	has sibling	human non-speech sounds
flute	scene contains	music rehearsal
human group actions	has children	booing
tick-tock	precedes	time keeping
running	precedes	starting a race
sound of things	has children	machinery impact
bell	scene contains	alarm bell ringing
flute	belongs to class	musical instrument
bassoon	originates from	musician
pumping water	belongs to class	liquid
banjo	scene contains	instrument made with sustainable materials
accordion	belongs to class	music
artillery fire	has sibling	non-machinery impact
chainsaw	belongs to class	tools
can opening	generated by	can opener handle
sound of things	has subtype	wind chime
generic impact sounds	has sibling	source-ambiguous
distortion	has parent	background noise
fireworks	co-occurs with	celebration
chopping wood	occurs in	park
police radio chatter	has parent	speech
children music	belongs to class	music genre
vibraphone	co-occurs with	music performance
sidetone	associated with event	dishwasher
steam	belongs to class	natural sounds
music	has subtype	church bell ringing
cat	is sound of	meowing
rope skipping	has parent	human activities
crunch	associated with environment	stone
magpie calling	belongs to class	bird vocalization call or song
pigeon cooing	belongs to class	animal
maraca	belongs to class	music
whimpering	belongs to class	human sounds
child voice	has subtype	child speaking
mechanical fan	temporal component of	ventilation system
sitar	produces	melody
human non-speech sounds	has subtype	sniggering
gong	belongs to class	music
house music	part of scene	music lounge
guitar tapping	belongs to class	plucked string instrument
engine	has subtype	lawn mower
human non-speech sounds	has children	child babbling
child babbling	occurs in	cafe or restaurant
oboe	produced during	orchestral performance
horse snort	emitted by	horse
announcement jingle	occurs in	bus station
shouting	can be heard in	sports field
bathroom sounds	has subtype	electric toothbrush
bus brake	caused by	emergency stop
eating noodles	occurs in	kitchen
spray	has parent	liquid
drum	belongs to class	percussion
keypress tone	has sibling	office sounds
bagpipes	described by	a traditional scottish musical instrument
knock	occurs in	restaurant
human sounds	has children	human voice
water tap or faucet	overlaps with	water splashing
sound of things	has subtype	liquid boiling
percussion	has children	drum kit
domestic sounds	has subtype	shower
thunderstorm	localized in	thundercloud
lions or tigers	occurs in	savannah
lawn mower	generated by	blade
spray	overlaps with	water splashing
vibraphone	part of scene	world music festival
smoke alarm	occurs in	shopping mall
flap	described by	a sudden, sharp sound made by a bird's wings
smoke alarm	precedes	office
road vehicle	occurs in	bus station
harp	has sibling	musical instrument
duck	part of scene	wetland
microphone	perceived as	audio input device
steel guitar or slide guitar	has duration	short
shofar	overlaps with	prayer
musical instrument	has subtype	soprano saxophone
female speaking	produced during	conversation
footsteps	produced during	hiking
snare drum	is a type of	drum set instrument
sliding door	responds to	opening
squeak	associated with environment	squeaky shoes
crushing	associated with environment	oil drilling platform
harp	has subtype	stringed instrument type
human voice	has children	male screaming
piano	precedes	playing music
crow	produces	cawing
insect	has duration	short
lullaby	can be heard in	cradle
male singing	localized in	nightclub
grind	can be heard in	construction site
exciting music	has sibling	music mood
latin america music	has subtype	kuduro music
camera	has subtype	single-lens reflex camera
harmonica	described by	a type of instrument used in improvisational music
co detector	has parent	alarm signal
drilling	has subtype	rotary
wood thrush calling	event composed of	wood thrush vocalizations
light engine (high frequency)	belongs to class	things
jackhammer	event composed of	demolition
bassoon	is a type of	brass instrument
telephone	belongs to class	communication device
castanets	part of scene	festival
train horn	performed by	train conductor
beat	localized in	concert stage
warbler chirping	is sound of	chirping
announcement	localized in	stadium
heart murmur	localized in	patient bed
baby babbling	has parent	human voice
motorcycle	used for	transportation
dog bowing	belongs to class	dog
elk bugling	has duration	short
bus engine idling	belongs to class	vehicle
harmonica	is instance of	brass instrument
thunderstorm	associated with environment	thunder
wild animal	has subtype	pigeon cooing
steam	occurs in	sea or ocean
tapping	associated with event	playing guitar
drum	emitted by	musician
music	has subtype	disc scratching
music mood	has children	happy music
cowbell	is a type of	musical
carnatic music	has parent	asia music
warbler chirping	occurs in	grassland
footsteps	localized in	room
tornado	has sibling	wind blowing
hammering	part of scene	metalworking
truck	has subtype	air brake
human sounds	has subtype	announcement jingle
sea lion barking	can be heard in	beach
hiccup	belongs to class	human sounds
bus	described by	a vehicle designed for carrying passengers on long-distance trips
walking	associated with environment	park
reverberation	belongs to class	channel environment and background
cello	can be heard in	concert hall
tire squealing	originates from	vehicle
banjo	associated with environment	music jam session
lip smacking	occurs in	train interior
running	localized in	park
boom	has sibling	explosion
screaming	belongs to class	human sounds
clang	belongs to class	source-ambiguous
rustle	generated by	wind
horse clip-clop	associated with event	galloping
drum kit	event composed of	drum snare
harp	belongs to class	musical instrument
coughing	described by	a dry, hacking sound made by the throat
canary calling	perceived as	warning signal
vehicle engine	has subtype	car passing by
cooking	invites action	suggests cooking techniques for specific dietary restrictions
sliding door	occurs in	shopping mall
bus engine accelerating	belongs to class	vehicle engine
plucked string instrument	has subtype	sitar
domestic sounds	has subtype	door wood creak
rattle (instrument)	event composed of	rolling ball
sound of things	has subtype	alarm signal
bus engine	occurs in	public square
domestic sounds	has subtype	electric fan
firecracker	can be heard in	festival
piano	originates from	music genre
tambourine	is instance of	stringed instrument
bathtub (filling or washing)	belongs to class	water domestic
cymbal	originates from	music
source-ambiguous sounds	has subtype	surface contact
giggling	has sibling	laughing
car	part of scene	highway
music	has subtype	cornet
water	has subtype	raindrop
trance music	has parent	electronic music
indoor environment	occurs in	inside
water vehicle	localized in	ocean
car	responds to	traffic congestion
natural sounds	has subtype	waves
cowbell	has timbre	percussive
dog	can be heard in	park
telephone dialing	event composed of	keypad
bus	occurs in	public square
hedge trimmer	occurs in	farm
wind blowing	has subtype	rustling leaves
gospel music	has parent	christian music
brief tone	has children	ping
sitar	overlaps with	sitar performance
cello	scene contains	music performance
electric shaver	emitted by	person
wind blowing	belongs to class	natural sounds
chatter	belongs to class	speech
cooking	invites action	suggests cooking techniques for specific dietary goals
vehicle engine	has subtype	motorcycle engine
dog pant	belongs to class	domestic animal
uk garage	belongs to class	electronic music
trumpet	precedes	military parade
skateboard	can be heard in	ramp
ukulele	produced during	playing
rattle	originates from	factory
bongos	localized in	concert stage
monkey	can be heard in	zoo
rail transport	occurs in	train interior
typewriter	caused by	finger movement
animal	has subtype	dog baying
trumpet	warns about	emergency warning
traffic noise	occurs in	construction site
people cheering	belongs to class	crowd
engine idling	has subtype	bus engine idling
footsteps	occurs in	train
independent music	belongs to class	music genre
yak	belongs to class	animal
washing dishes	event composed of	water splashing
railroad car or train wagon	occurs in	train interior
electric guitar	precedes	composing music
knife	described by	a sharp, edged tool used for cutting
bus engine	has subtype	bus compressor
speech	warns about	emergency situation
roll	belongs to class	source-ambiguous
cello	described by	a type of instrument played with a bow
monologue	requires attention	sustained
speech	localized in	auditorium
bathroom sounds	has children	water tap or faucet
rope skipping	has sibling	human activities
piano	has sibling	keyboard (musical)
coughing	occurs in	bus interior
coffee machine	generated by	electricity
singing	produced during	singing rehearsal
telephone	has children	phone ringing
bathroom ventilation fan	occurs in	home
music mood	has subtype	tender music
plucked string instrument	has timbre	metallic
baby babbling	occurs in	train interior
harpsichord	emitted by	instrument
cat growling	localized in	living room
chicken or rooster clucking	belongs to class	fowl animal
church bell ringing	has parent	musical instrument
woodpecker	can be heard in	woodworking studio
gospel music	perceived as	uplifting
car engine idling	originates from	vehicle
duck	perceived as	quacking
trombone	scene contains	street performance
trumpet	belongs to class	musical instrument
gong	event composed of	tolling
blowtorch	occurs in	aerospace manufacturing plant
bouncing	is a type of	ball rebound
swing music	belongs to class	music
wheel rolling	has subtype	truck wheel rolling
drum kit	has parent	percussion
monkey	has sibling	wild animal
francolin calling	belongs to class	bird
telephone busy signal	occurs in	billiard pool hall
glass break	belongs to class	glass
chicken or rooster	belongs to class	fowl animal
music	has subtype	video game music
cymbal	has subtype	crash cymbal
trumpet	generated by	band
cutlery or dishes	occurs in	home
boom	originates from	construction site
washing dishes	occurs in	cafe or restaurant
bird vocalization call or song	occurs in	public square
arc welding	has parent	tools
speech	can be heard in	lecture hall
playing badminton	has parent	human activities
blowtorch	associated with event	heating metal
alarm signal	has parent	things
object impact	belongs to class	non-machinery impact
baltimore oriole calling	has sibling	bird chirping
steel guitar or slide guitar	belongs to class	music
lathe spinning	has parent	light engine (high frequency)
wood	scene contains	musical instrument
bass guitar	belongs to class	acoustic instrument
road vehicle	localized in	street
canidae dogs wolves	belongs to class	wild animal
music	has subtype	drum
bowed string instrument	generated by	bow
metro door opens or closes	originates from	metro station exit
water vehicle	emitted by	boat
animal	has subtype	chinchilla barking
cymbal	is variant of	musical instrument
rodents rats mice	occurs in	pedestrian street
harp	described by	music
non-machinery impact	has subtype	firecracker
ding-dong	generated by	clock
plucked string instrument	event composed of	plucking
animal	occurs in	beach
air conditioner	occurs in	shop
dishwasher	event composed of	dish drying
opera	has parent	classical music
goose honking	localized in	farm
car engine idling	localized in	garage
door slam	precedes	door closing
gunshot	can be heard in	military training
goat or sheep bleat	belongs to class	farm animal
door slam	has sibling	door domestic
clunk	follows	motion
horse	has children	horse snort
fire truck siren ringing	occurs in	cafe or restaurant
cooking	belongs to class	domestic sounds
washboard	can be heard in	kitchen
didgeridoo	used for	meditation
door	indicates	opening
children shouting	originates from	playground
other sourceless	belongs to class	source-ambiguous
reggae music	belongs to class	music genre
baltimore oriole calling	belongs to class	wild animal
bongos	belongs to class	music
trance music	belongs to class	music
shouting	has duration	short
traffic noise	has sibling	outdoor urban or manmade
musical instrument	has subtype	drum machine
baby laughing	emitted by	mother
television	associated with event	broadcasting
warbler chirping	originates from	bird
music mood	has children	tender music
djembe	localized in	concert stage
cat meowing	occurs in	home
non-machinery impact	has parent	things
golf driving	localized in	golf course
bull	belongs to class	wild animal
applause	caused by	applause clapping
door	caused by	slamming
erhu	is a type of	musical instrument
trombone	occurs in	concert
buzzer ringing	occurs in	supermarket
cupboard open or close	occurs in	living room
gong	belongs to class	percussion
vibraphone	has timbre	resonant
onomatopoeia	has subtype	rumble
train whistle	occurs in	train station
human voice	has subtype	chuckling and chortling
air brake	produced during	slowing down
woodpecker	used for	carpentry
cowbell	occurs in	wedding
clavinet	produced during	jazz performances
domestic sounds	has subtype	furniture dragging
erhu	generated by	musician
groaning	has duration	short
golf driving	localized in	golf range
grunge	occurs in	music venue
sniggering	belongs to class	human sounds
door opens or closes	has subtype	door slam
giggling	temporal component of	laughing
human non-speech sounds	has subtype	battle cry
urban music	part of scene	festival
telephone vibrating	occurs in	train interior
gibbon howling	perceived as	territorial
cat	has children	cat purring
aircraft	localized in	airfield
bongos	can be heard in	live music venue
breaking	occurs in	construction site
dog howling	has parent	dog
djembe	can be heard in	music venue
sound of things	has subtype	office sounds
sonar	belongs to class	things
firecracker	has parent	non-machinery impact
electric train	responds to	train derailment cause effect
truck	emitted by	engine
fly housefly	belongs to class	insect
musical concepts	has children	loop
woodpecker	part of scene	construction zone
sailboat sailing ship	belongs to class	things
rustle	is sound of	water
guiro	is instance of	instrument
tambourine	described by	a musical instrument with metal jingles
electric train	has parent	train
oboe	scene contains	music rehearsal room
drum	has timbre	percussive
electro	warns about	electrical overvoltage
wild animal	has subtype	frog croak
bus compressor	occurs in	public square
explosion	has subtype	machine gun
bugle	event composed of	military drill
fire	warns about	effect
object fall	belongs to class	source-ambiguous
accordion	precedes	music playing
bus brake	has parent	brakes squeaking
music	has subtype	loop
car skidding	produced during	braking
whistle	caused by	wind
whistle	occurs in	kitchen
male speaking	has sibling	speech
cutlery or silverware	occurs in	cafe or restaurant
hi-hat	part of scene	country concert
snowmobile	associated with event	snowmobiling journey
crowd	can be heard in	stadium
truck	emitted by	vehicle
object rustling	belongs to class	object impact
harpsichord	scene contains	concert hall
funk carioca music	has parent	latin america music
bouncing	is a type of	ball bounce
mechanical fan	temporal component of	cooling system
electric shaver	produced during	shaving
telephone	part of scene	communication
gush	overlaps with	water flow
guiro	event composed of	music instrument
bird	has subtype	magpie calling
chicken or rooster crowing	belongs to class	animal
buzzer ringing	generated by	fire alarm
door slam	event composed of	door closing
slosh	event composed of	water splashing
banjo	belongs to class	music
traffic noise	occurs in	vehicle interior
speech synthesizer	belongs to class	speech
horse nicker	localized in	riding arena
gibbon howling	belongs to class	animal
pigeon dove	has subtype	pigeon cooing
giggling	belongs to class	human voice
pheasant crowing	warns about	predator
snap	overlaps with	popcorn
piano	associated with event	instrument
coffee machine	can be heard in	café
latin america music	has children	flamenco music
motorcycle engine idling	occurs in	busy street
harp	described by	a musical instrument with a recognizable sound
washing machine	belongs to class	domestic sounds
hands	has subtype	finger snapping
bass guitar	has parent	plucked string instrument
glass jingling	occurs in	cafe or restaurant
music role	has children	background music
ringtone	occurs in	smartphone alarm
sawing	localized in	machine shop
environmental noise	has parent	background noise
yelling	occurs in	residential area
pig	can be heard in	barn
road vehicle	has subtype	car horn
hands	occurs in	concert hall
timpani	is a type of	percussion family
nose blowing	occurs in	student hall
tambourine	is instance of	handheld percussion instrument
writing	occurs in	home
wheeze	affects	chronic obstructive lung disease
wood block	belongs to class	music
environmental noise	overlaps with	airplane noise
engine knocking	caused by	worn pistons
train horn	belongs to class	things
pizzicato	can be heard in	orchestra rehearsal
object banging	event composed of	wood hitting metal
sea lion barking	is a type of	animal
explosion	has subtype	firing cannon
aircraft	has children	electric rotor drone
whip	has parent	generic impact sounds
castanets	perceived as	percussion instrument
human non-speech sounds	has children	sneezing
wild animal	occurs in	street
mouse pattering	has parent	rodents rats mice
steel guitar or slide guitar	part of scene	music lesson
melody	occurs in	concert
motorboat speedboat	linked to visual	watercraft on water with engine
applause	has timbre	percussive
trumpet	part of scene	marching band
train	part of scene	train terminal
artillery fire	localized in	battlefield
water vehicle	occurs in	waterfront
tearing	belongs to class	source-ambiguous
drum	part of scene	music instrument
human movement	occurs in	public square
cow	is sound of	moo
human non-speech sounds	has subtype	sniffing
singing	has parent	human voice
door domestic	occurs in	apartment
thunderstorm	associated with environment	thunderclap
channel environment and background	has children	reproduction
fireworks	caused by	ignition
air horn or truck horn	occurs in	construction site
typing	occurs in	home
train wheels squealing	belongs to class	things
music	has subtype	punk rock
bicycle bell	belongs to class	alarm signal
ringtone	has parent	telephone
knock	produced during	opening door
footsteps	described by	a series of rhythmic sounds made by someone walking
engine	has children	light engine (high frequency)
female screaming	localized in	apartment
harp	occurs in	music festival
clavinet	belongs to class	musical instrument
bicycle bell	event composed of	metal striking metal
dog bowing	occurs in	park
bugle	described by	a loud, high-pitched sound used for signaling or warning
smoke extractor	has parent	kitchen sounds
techno	used for	music
sound of things	has subtype	vehicle
tractor	linked to visual	tractor in harvest field during planting
crunch	is a type of	mechanical
whistling	part of scene	dance performance
bowling balls	belongs to class	non-machinery impact
drum	associated with environment	music concert
humming	localized in	room
animal	has subtype	caterwaul
pheasant crowing	occurs in	meadow
ship	associated with environment	ocean
church bell ringing	belongs to class	music
